id,level,n_tokens,nll,distance
low_01,low,26,5.184134897623033,0.7117322683334351
low_02,low,27,5.541147744091541,0.6973289251327515
low_03,low,21,5.579247365500053,0.7216487228870392
low_04,low,24,5.8872630766768275,0.667721301317215
low_05,low,34,5.632853831923491,0.6350612640380859
low_06,low,20,5.902063419677168,0.6836276054382324
low_07,low,20,6.283808750425675,0.7217144966125488
low_08,low,19,6.0240878660884665,0.6787735223770142
low_09,low,21,6.86593923405565,0.7045124173164368
low_10,low,27,6.054650956830936,0.677733302116394
medium_01,medium,36,5.266070120060136,0.4634019732475281
medium_02,medium,36,5.345391367523298,0.5310180187225342
medium_03,medium,44,5.408615459091542,0.4779927134513855
medium_04,medium,41,4.7238248466096024,0.5079535841941833
medium_05,medium,55,4.743893430054441,0.49120330810546875
medium_06,medium,42,4.899613571480654,0.5328894853591919
medium_07,medium,49,4.935191638581005,0.448947012424469
medium_08,medium,41,5.1625686518538805,0.505716860294342
medium_09,medium,48,5.45343422963823,0.4877595901489258
medium_10,medium,32,5.238884915639991,0.6890913844108582
high_01,high,113,4.699417590007044,0.4998457431793213
high_02,high,110,5.109302619559814,0.3575970530509949
high_03,high,106,5.123753707855675,0.4309121370315552
high_04,high,110,4.62060441557308,0.5159173011779785
high_05,high,113,5.011386612518041,0.4745153784751892
high_06,high,119,5.169095107603028,0.452908456325531
high_07,high,119,4.880567495555404,0.4654756784439087
high_08,high,106,5.180954251986429,0.4509868025779724
high_09,high,116,5.16113358820396,0.49916255474090576
high_10,high,109,5.057078550343821,0.35544729232788086
