carrier_id,corpus,carrier_type,low_template,medium_template,high_template
1,synthetic,info,5,4,6
2,synthetic,info,5,7,4
3,synthetic,info,10,4,9
4,synthetic,info,1,4,5
5,synthetic,info,7,1,3
6,synthetic,info,6,2,7
7,synthetic,info,1,6,8
8,synthetic,info,8,8,2
9,synthetic,info,2,7,4
10,synthetic,info,8,9,3
11,synthetic,info,8,3,6
12,synthetic,info,2,5,10
13,synthetic,info,6,3,9
14,synthetic,info,6,5,4
15,synthetic,info,8,10,4
16,synthetic,info,5,1,6
17,synthetic,info,5,8,6
18,synthetic,info,10,3,7
19,synthetic,info,8,8,2
20,synthetic,info,4,1,8
21,synthetic,info,4,4,5
22,synthetic,info,3,6,2
23,synthetic,info,4,9,9
24,synthetic,info,10,8,2
25,synthetic,info,9,4,7
26,synthetic,info,5,9,2
27,synthetic,info,9,7,10
28,synthetic,info,3,6,1
29,synthetic,info,9,7,1
30,synthetic,info,4,9,1
31,synthetic,info,1,10,6
32,synthetic,info,5,5,5
33,synthetic,info,6,9,7
34,synthetic,info,7,1,4
35,synthetic,info,8,1,10
36,synthetic,info,5,6,8
37,synthetic,info,10,3,8
38,synthetic,info,6,8,7
39,synthetic,info,9,5,7
40,synthetic,info,2,3,3
41,synthetic,info,4,3,6
42,synthetic,info,3,7,3
43,synthetic,info,4,9,3
44,synthetic,info,5,6,8
45,synthetic,info,2,5,8
46,synthetic,info,7,5,8
47,synthetic,info,7,5,3
48,synthetic,info,7,10,9
49,synthetic,info,1,1,8
50,synthetic,info,4,4,1
51,synthetic,info,10,4,10
52,synthetic,info,5,7,5
53,synthetic,info,1,2,2
54,synthetic,info,6,10,5
55,synthetic,info,2,2,2
56,synthetic,info,4,6,10
57,synthetic,info,6,10,6
58,synthetic,info,7,2,7
59,synthetic,info,3,7,6
60,synthetic,info,7,4,4
61,synthetic,info,3,1,1
62,synthetic,info,1,10,3
63,synthetic,info,1,3,10
64,synthetic,info,7,3,1
65,synthetic,info,9,4,10
66,synthetic,info,2,7,2
67,synthetic,info,8,5,5
68,synthetic,info,5,2,4
69,synthetic,info,10,9,9
70,synthetic,info,3,10,1
71,synthetic,info,1,3,9
72,synthetic,info,10,10,9
73,synthetic,info,6,2,9
74,synthetic,info,10,5,4
75,synthetic,info,6,2,5
76,synthetic,info,9,2,1
77,synthetic,info,3,1,5
78,synthetic,info,8,3,5
79,synthetic,info,9,6,6
80,synthetic,info,8,9,8
81,synthetic,info,7,8,10
82,synthetic,info,3,8,9
83,synthetic,info,3,10,4
84,synthetic,info,9,8,7
85,synthetic,info,10,6,3
86,synthetic,info,1,7,2
87,synthetic,info,6,1,1
88,synthetic,info,8,8,8
89,synthetic,info,2,7,10
90,synthetic,info,7,8,10
91,synthetic,info,9,6,1
92,synthetic,info,2,2,4
93,synthetic,info,2,10,3
94,synthetic,info,3,9,5
95,synthetic,info,4,5,3
96,synthetic,info,4,6,2
97,synthetic,info,10,2,9
98,synthetic,info,1,9,7
99,synthetic,info,2,4,7
100,synthetic,info,9,1,6
